magas tomeg matek biol
183 73 3 3
176 99 1 3
179 84 5 5
180 94 1 3
175 89 1 1
165 76 4 4
170 68 3 3
188 87 2 1
181 87 5 4
176 98 4 5
187 95 5 5
185 79 1 1
172 67 2 4
189 88 1 1
175 82 1 1
185 94 5 4
179 88 1 3
180 72 1 1
172 77 3 4
171 79 4 2
173 67 2 3
183 78 3 4
181 82 2 3
176 90 2 1
181 89 1 2
173 89 3 3
184 88 1 2
174 93 5 3
178 84 5 3
181 92 2 1
179 81 4 4
165 51 5 4
175 72 1 1
179 84 2 3
174 68 5 5
186 92 1 1
182 71 2 3
177 74 5 5
177 81 1 3
174 75 4 3
180 90 2 4
177 92 2 1
173 75 4 5
181 84 5 5
173 85 2 2
171 83 3 4
183 76 5 3
184 84 5 4
180 73 1 2
179 76 1 1
182 93 3 5
183 81 2 1
186 100 4 3
191 90 2 1
172 68 5 5
184 101 5 3
185 92 2 4
169 66 5 5
181 89 4 4
180 88 5 3
176 91 1 1
183 68 5 4
158 63 4 3
176 75 4 5
184 70 5 3
186 90 4 5
180 86 4 5
176 54 2 1
175 66 5 5
182 76 1 1
176 82 2 1
180 72 1 1
177 79 2 2
176 100 2 3
169 67 1 3
183 87 4 5
187 78 1 2
179 76 2 3
168 69 2 2
169 71 4 3
180 71 4 5
183 84 5 5
172 82 4 5
188 89 4 3
180 64 1 2
168 70 1 3
170 82 1 1
188 111 2 1
175 69 4 3
170 67 3 5
174 79 5 5
176 72 1 2
173 82 4 5
187 92 5 5
180 80 2 1
178 83 5 5
171 76 2 4
174 85 5 5
171 78 2 4
180 85 1 2
178 71 2 1
180 77 2 3
184 73 1 3
183 99 2 3
178 83 4 3
173 78 3 2
186 92 4 5
183 106 5 4
186 97 3 1
183 93 5 3
167 77 5 5
170 86 1 1
187 94 5 5
177 74 1 3
173 65 2 1
184 85 4 3
172 73 1 1
183 97 1 1
180 86 3 1
192 80 3 3
189 94 5 3
183 75 3 2
177 82 3 4
178 80 2 3
179 83 2 2
175 77 1 3
182 96 3 4
172 80 4 3
170 79 2 1
181 82 1 1
180 96 3 3
175 73 1 1
183 90 5 5
175 68 4 5
179 76 1 1
163 63 4 3
185 95 5 4
175 70 3 3
175 81 2 1
179 80 5 5
167 59 4 3
182 82 2 1
186 95 2 3
175 91 4 2
184 94 1 1
182 83 1 2
176 75 3 4
180 80 2 3
175 75 2 3
166 78 3 3
175 65 4 5
180 70 1 1
180 78 3 1
180 74 1 3
169 71 3 5
186 84 5 5
177 76 2 4
167 83 1 1
177 90 4 2
189 105 1 2
175 74 1 2
181 94 1 1
183 91 2 3
171 67 3 5
175 75 1 1
177 71 3 1
182 95 3 1
181 78 5 5
187 84 5 5
174 71 4 2
177 78 1 2
180 82 1 2
182 92 1 2
174 84 3 3
176 66 4 4
186 74 2 1
186 94 5 5
180 94 4 2
168 60 2 2
169 61 3 5
177 66 3 3
170 67 1 1
169 70 1 1
187 88 1 3
170 79 5 5
177 93 3 1
184 89 1 1
180 88 1 2
171 59 5 5
177 86 1 1
186 87 4 5
174 73 3 1
181 94 2 3
178 55 4 3
164 56 2 1
178 64 4 5
182 75 2 1
175 91 1 1
180 82 3 4
186 97 5 4
177 78 1 1
175 90 3 3
180 81 1 1
171 74 1 1
180 71 3 3
182 97 5 5
173 76 5 3
191 94 3 5
175 91 1 1
184 85 4 5
174 92 4 5
182 80 1 1
170 81 2 2
172 67 2 2
178 79 3 1
179 77 2 1
182 56 5 5
178 72 5 3
176 88 4 2
177 88 1 1
176 83 5 5
180 85 1 1
184 82 4 3
180 79 4 5
184 86 4 2
178 98 5 4
176 82 5 5
190 96 3 5
182 86 2 1
184 90 4 2
173 63 3 2
179 71 2 2
171 66 1 1
166 77 1 1
179 74 3 5
176 83 2 3
175 88 2 2
186 107 2 2
181 96 3 2
174 68 4 5
184 84 5 4
185 97 1 3
181 99 2 3
174 80 5 5
181 87 5 5
178 90 3 5
184 78 4 2
182 98 1 2
178 78 2 1
172 86 3 4
172 76 3 3
176 72 3 1
181 83 4 5
175 65 5 5
172 63 2 1
181 89 4 4
173 72 4 4
173 77 4 4
175 84 1 1
178 78 1 1
178 85 3 2
176 79 4 2
178 81 4 5
189 85 3 3
184 97 5 5
179 76 5 5
