jszarny;jcsud
107;28.2
115;31.8
108;27.9
109;29.6
102;27.3
110;28.6
114;30.1
109;27.8
108;31
113;30.3
108;29.3
111;28.2
114;28.9
107;28.8
106;27.6
106;27.6
106;28.2
109;28.2
109;28.2
108;27.1
109;29.7
108;28.6
108;28
108;28
106;28.9
106;28.9
107;28.5
107;30.3
109;27.8
112;29.5
103;28.2
110;29.6
110;29.6
109;27.2
105;27.7
106;28.8
106;28.8
108;27.1
106;29.4
106;29
107;27.5
107;27.7
112;30.1
101;28.2
105;30
103;29.1
109;27.5
108;29.7
105;29.6
108;28.3
108;28.3
111;27.8
111;27.8
112;28.2
110;28.5
110;27.4
113;28.5
113;28.5
108;28.6
110;30
114;29.9
97;27.6
108;29.5
108;27.6
106;28.5
108;28.5
110;28.3
109;29.8
110;28
111;29.9
112;29.5
111;28.6
106;27.5
108;30
108;30
112;29.7
105;27.5
107;28.9
107;28.3
107;29.7
107;29.7
107;28.8
107;30.7
107;28.3
107;28.3
106;28.1
101;27.9
106;29.3
106;29.3
106;28.5
106;28.5
111;29.5
104;29.8
112;28.5
102;29.5
107;29.8
109;27.2
109;27.2
106;29.8
101;29.1
106;28.2
104;29.8
107;28.4
108;28.5
110;29.1
111;28.8
108;29.3
112;30.4
108;29.6
108;29.6
110;28.9
110;28.9
103;30
109;28.5
104;27.3
110;30.4
105;30.5
109;30.1
112;29.8
110;29.3
108;27.9
107;28.2
104;28.7
114;30
106;30.2
106;30.2
107;28
110;30.2
109;28.2
103;28.3
103;28.3
112;30.2
112;30.2
105;27
110;29.8
108;28.8
109;29.1
