hely ivar tomeg jszarny jcsud
1 B H 42.2 110 30.7
2 B T 36.4 105 28.7
3 B H 40.4 107 31
4 C T 43.8 111 27.6
5 C H 41.2 107 28.2
6 C H 40.2 115 31.8
7 C H 40.2 108 27.9
8 C H 39.2 109 29.6
9 C T 40.4 102 27.3
10 C T 42.2 110 28.6
11 C H 40 114 30.1
12 C T 41.8 109 27.8
13 C H 41.4 108 31
14 C T 40.4 113 30.3
15 C T 44.2 108 29.3
16 C H 41.2 111 28.2
17 B T 40.6 105 29.1
18 B T 40 109 29.2
19 B H 46.8 112 29.1
20 B T 38.4 103 26.6
21 B T 42.8 109 29.8
22 B H 38.4 109 28.4
23 B T 42 106 28.2
24 B H 39.6 112 29
25 B H 41.8 107 29.2
26 B H 39.4 109 28.3
27 B T 38.6 109 28.3
28 B H 40.4 107 28.4
29 B H 42.2 110 29.3
30 C T 42.4 109 29.1
31 C H 40.2 110 29.9
32 C H 41.8 105 29
33 C T 39.2 107 26.9
34 C H 43.4 114 30.8
35 C H 44.8 109 30
36 C T 44 107 28.3
37 C T 41.8 107 29.4
38 C H 41 108 30.5
39 C T 41.8 113 27.6
40 C H 43.4 114 28.9
41 C H 40.2 107 28.8
42 C T 41.2 106 27.6
43 C T 45.6 106 28.2
44 C H 40.2 109 28.2
45 C T 39.2 109 28.2
46 C T 40.4 108 27.1
47 C T 39.2 109 29.7
48 C T 41.6 108 28.6
49 C H 39.6 108 28
50 C T 44.4 106 28.9
51 C T 45.4 107 28.5
52 C T 40.4 107 28.4
53 C H 46.2 107 30.3
54 C T 43.8 109 27.8
55 C H 43.4 112 29.5
56 C T 41.8 103 28.2
57 C T 42.6 110 29.6
58 C T 45.4 109 27.2
59 C H 37.4 105 27.7
60 C H 40.2 106 28.8
61 C T 42.8 108 27.1
62 C H 42.4 106 29.4
63 C T 40.8 106 29
64 C H 42.6 107 27.5
65 C H 38.6 107 27.7
66 C H 44.4 112 30.1
67 C T 39.2 101 28.2
68 C T 43.2 105 30
69 C H 42.4 103 29.1
70 C T 45.2 109 27.5
71 C T 47.8 108 29.7
72 C H 37.4 105 29.6
73 C H 40.6 108 28.3
74 C H 39.6 111 27.8
75 C T 45.6 112 28.2
76 C H 40.2 110 28.5
77 C T 46.4 110 27.4
78 C T 45.4 113 28.5
79 C H 41.8 108 28.6
80 C H 42.2 110 30
81 C H 43.2 114 29.9
82 C T 41.8 97 27.6
83 C H 40.4 108 29.5
84 C H 43.4 108 27.6
85 C T 39.4 106 28.5
86 C H 41.2 108 28.5
87 C T 39.2 110 28.3
88 C H 41.4 109 29.8
89 C T 46.8 110 28
90 C T 48.6 111 29.9
91 C H 39.8 112 29.5
92 C T 45.8 111 28.6
93 C H 40 106 27.5
94 C H 44 108 30
95 C H 43.2 112 29.7
96 C T 39.2 105 27.5
97 C H 41 107 28.9
98 C T 42.2 107 28.3
99 C T 40.8 107 29.7
100 D T 40.8 110 27.2
101 B T 42.4 115 28.8
102 B T 39.4 109 28.6
103 B H 39.2 107 28.8
104 B T 38.8 103 28.9
105 B H 40 106 29.2
106 B T 39.2 105 27.4
107 B T 44.8 110 28.8
108 B T 35.6 98 27.7
109 B T 34.8 102 27.8
110 B T 42.2 106 28
111 C T 41.8 111 28.6
112 C H 40 108 29.7
113 C T 46.2 106 28.5
114 C T 44.2 111 29
115 C T 38.4 105 28.1
116 C T 44.2 109 28.4
117 C T 40.6 104 29.2
118 C T 41.8 108 27.2
119 C H 38.4 112 29.3
120 C H 43.2 106 29.7
121 C T 42 107 28.8
122 C H 43.2 107 30.7
123 C T 40.2 107 28.3
124 C T 40.8 106 28.1
125 C T 40.2 101 27.9
126 C T 36.6 106 29.3
127 C T 40.8 106 28.5
128 C H 41 111 29.5
129 C H 41.2 104 29.8
130 C H 40.4 112 28.5
131 C T 41 102 29.5
132 C H 41.6 107 29.8
133 C T 42.6 109 27.2
134 C T 40.6 106 29.8
135 C H 40.6 101 29.1
136 C H 41.2 106 28.2
137 C H 39.4 104 29.8
138 C T 40.6 107 28.4
139 C T 41.4 108 28.5
140 C T 42.8 110 29.1
141 C H 38.2 111 28.8
142 C H 40.6 108 29.3
143 C H 45.2 112 30.4
144 C H 39.2 108 29.6
145 C T 42.8 110 28.9
146 C H 39.4 103 30
147 C T 39.2 109 28.5
148 C T 41.2 104 27.3
149 C T 43 110 30.4
150 C H 42.8 105 30.5
151 C H 42.2 109 30.1
152 C T 40.2 112 29.8
153 C T 39.4 110 29.3
154 C H 38.8 108 27.9
155 C T 39.6 107 28.2
156 C H 43.8 104 28.7
157 C T 45 114 30
158 C H 41.6 106 30.2
159 C T 38.6 107 28
160 C H 40.6 110 30.2
161 C T 43.6 109 28.2
162 C H 40.2 103 28.3
163 C H 42 112 30.2
164 C T 43.8 105 27
165 C H 43.2 110 29.8
166 C T 41.2 108 28.8
167 C H 43.2 109 29.1
168 D H 41.8 108 29
169 D T 41.4 107 27.5
170 B T 39.2 101 29.9
171 C H 41.4 103 28.2
172 C H 39.6 97 28.8
173 C T 42.4 104 28.4
174 C H 39.8 105 28
175 C H 43.4 103 30
176 C H 40.4 98 29.4
177 C H 41.8 110 29.2
178 D T 40.6 105 27.8
179 D H 40.4 105 28.9
180 D H 39.2 96 26.8
