hely;ivar;tomeg;jszarny;jcsud
B;H;42.2;110;30.7
B;T;36.4;105;28.7
B;H;40.4;107;31
C;T;43.8;111;27.6
C;H;41.2;107;28.2
C;H;40.2;115;31.8
C;H;40.2;108;27.9
C;H;39.2;109;29.6
C;T;40.4;102;27.3
C;T;42.2;110;28.6
C;H;40;114;30.1
C;T;41.8;109;27.8
C;H;41.4;108;31
C;T;40.4;113;30.3
C;T;44.2;108;29.3
C;H;41.2;111;28.2
B;T;40.6;105;29.1
B;T;40;109;29.2
B;H;46.8;112;29.1
B;T;38.4;103;26.6
B;T;42.8;109;29.8
B;H;38.4;109;28.4
B;T;42;106;28.2
B;H;39.6;112;29
B;H;41.8;107;29.2
B;H;39.4;109;28.3
B;T;38.6;109;28.3
B;H;40.4;107;28.4
B;H;42.2;110;29.3
C;T;42.4;109;29.1
C;H;40.2;110;29.9
C;H;41.8;105;29
C;T;39.2;107;26.9
C;H;43.4;114;30.8
C;H;44.8;109;30
C;T;44;107;28.3
C;T;41.8;107;29.4
C;H;41;108;30.5
C;T;41.8;113;27.6
C;H;43.4;114;28.9
C;H;40.2;107;28.8
C;T;41.2;106;27.6
C;T;45.6;106;28.2
C;H;40.2;109;28.2
C;T;39.2;109;28.2
C;T;40.4;108;27.1
C;T;39.2;109;29.7
C;T;41.6;108;28.6
C;H;39.6;108;28
C;T;44.4;106;28.9
C;T;45.4;107;28.5
C;T;40.4;107;28.4
C;H;46.2;107;30.3
C;T;43.8;109;27.8
C;H;43.4;112;29.5
C;T;41.8;103;28.2
C;T;42.6;110;29.6
C;T;45.4;109;27.2
C;H;37.4;105;27.7
C;H;40.2;106;28.8
C;T;42.8;108;27.1
C;H;42.4;106;29.4
C;T;40.8;106;29
C;H;42.6;107;27.5
C;H;38.6;107;27.7
C;H;44.4;112;30.1
C;T;39.2;101;28.2
C;T;43.2;105;30
C;H;42.4;103;29.1
C;T;45.2;109;27.5
C;T;47.8;108;29.7
C;H;37.4;105;29.6
C;H;40.6;108;28.3
C;H;39.6;111;27.8
C;T;45.6;112;28.2
C;H;40.2;110;28.5
C;T;46.4;110;27.4
C;T;45.4;113;28.5
C;H;41.8;108;28.6
C;H;42.2;110;30
C;H;43.2;114;29.9
C;T;41.8;97;27.6
C;H;40.4;108;29.5
C;H;43.4;108;27.6
C;T;39.4;106;28.5
C;H;41.2;108;28.5
C;T;39.2;110;28.3
C;H;41.4;109;29.8
C;T;46.8;110;28
C;T;48.6;111;29.9
C;H;39.8;112;29.5
C;T;45.8;111;28.6
C;H;40;106;27.5
C;H;44;108;30
C;H;43.2;112;29.7
C;T;39.2;105;27.5
C;H;41;107;28.9
C;T;42.2;107;28.3
C;T;40.8;107;29.7
D;T;40.8;110;27.2
B;T;42.4;115;28.8
B;T;39.4;109;28.6
B;H;39.2;107;28.8
B;T;38.8;103;28.9
B;H;40;106;29.2
B;T;39.2;105;27.4
B;T;44.8;110;28.8
B;T;35.6;98;27.7
B;T;34.8;102;27.8
B;T;42.2;106;28
C;T;41.8;111;28.6
C;H;40;108;29.7
C;T;46.2;106;28.5
C;T;44.2;111;29
C;T;38.4;105;28.1
C;T;44.2;109;28.4
C;T;40.6;104;29.2
C;T;41.8;108;27.2
C;H;38.4;112;29.3
C;H;43.2;106;29.7
C;T;42;107;28.8
C;H;43.2;107;30.7
C;T;40.2;107;28.3
C;T;40.8;106;28.1
C;T;40.2;101;27.9
C;T;36.6;106;29.3
C;T;40.8;106;28.5
C;H;41;111;29.5
C;H;41.2;104;29.8
C;H;40.4;112;28.5
C;T;41;102;29.5
C;H;41.6;107;29.8
C;T;42.6;109;27.2
C;T;40.6;106;29.8
C;H;40.6;101;29.1
C;H;41.2;106;28.2
C;H;39.4;104;29.8
C;T;40.6;107;28.4
C;T;41.4;108;28.5
C;T;42.8;110;29.1
C;H;38.2;111;28.8
C;H;40.6;108;29.3
C;H;45.2;112;30.4
C;H;39.2;108;29.6
C;T;42.8;110;28.9
C;H;39.4;103;30
C;T;39.2;109;28.5
C;T;41.2;104;27.3
C;T;43;110;30.4
C;H;42.8;105;30.5
C;H;42.2;109;30.1
C;T;40.2;112;29.8
C;T;39.4;110;29.3
C;H;38.8;108;27.9
C;T;39.6;107;28.2
C;H;43.8;104;28.7
C;T;45;114;30
C;H;41.6;106;30.2
C;T;38.6;107;28
C;H;40.6;110;30.2
C;T;43.6;109;28.2
C;H;40.2;103;28.3
C;H;42;112;30.2
C;T;43.8;105;27
C;H;43.2;110;29.8
C;T;41.2;108;28.8
C;H;43.2;109;29.1
D;H;41.8;108;29
D;T;41.4;107;27.5
B;T;39.2;101;29.9
C;H;41.4;103;28.2
C;H;39.6;97;28.8
C;T;42.4;104;28.4
C;H;39.8;105;28
C;H;43.4;103;30
C;H;40.4;98;29.4
C;H;41.8;110;29.2
D;T;40.6;105;27.8
D;H;40.4;105;28.9
D;H;39.2;96;26.8
