HO;KOR;TOMEG;TESTH;SZORH
1;6;0.04;3.05;65;2.6
2;6;0.1;4.55;67.5;3.2
3;7;0.2;6;74.5;3
4;10;0.4;10.5;79;3.2
5;7;1.3;9;81.5;3.2
6;7;0.2;8;82;3
7;10;0.3;10;84.5;2.6
8;8;0.1;10.7;89;2.6
9;9;0.3;14.2;89;2.6
10;4;0.9;14;90;3.8
11;11;0.5;14;91;2.8
12;3;0.8;15;91;3.8
13;8;0.3;11.4;92.5;3
14;9;0.3;13.5;93;3.5
15;1;0.6;17.5;93;4
16;11;0.6;15;94;3.5
17;4;0.9;15.5;94.5;3.6
18;1;0.6;17;95;2.4
19;11;0.7;15.5;95;3.2
20;11;0.5;17;95.5;3
21;10;0.7;14.5;96.5;2.5
22;10;0.3;14;96.5;3.4
23;3;2;17;96.5;3.5
24;1;0.6;15.5;97;4
25;5;5.5;22;97;4
26;3;0.8;19;97.5;3.5
27;1;0.6;15;97.5;3.8
28;10;0.6;13.2;98;3.2
29;2;0.7;13;98;3.5
30;7;1;19;98;4.5
31;3;1;18;99.5;3.2
32;3;1;18;99.5;4.2
33;11;0.6;15.3;100;3.7
34;1;0.8;14.5;101;3.5
35;10;0.4;16;102;2.2
36;8;10;22;102;2.5
37;10;0.5;20;102;2.5
38;2;0.6;17;102;3.5
39;11;0.6;15.5;102;3.5
40;2;0.8;17;102;4
41;4;2.5;18.5;102;4
42;1;5;19;102.5;3.4
43;2;0.7;19;103;3
44;9;6;24;103;3.6
45;9;5.5;21;103;3.6
46;2;0.75;20;103;3.7
47;11;0.5;17.5;103;3.8
48;4;1.1;21.5;103;4.3
49;4;0.9;19;103.5;3.5
50;1;0.9;17;103.5;3.7
51;7;2;21;104;2.5
52;12;0.6;17;104;4
53;8;5;23;104.5;2.3
54;5;4.5;22;104.5;3.3
55;4;3;24;104.5;4.5
56;3;3;19;105;3.2
57;12;0.8;19.5;105;3.5
58;4;3;18.5;105;3.8
59;3;0.9;16.5;105;4
60;6;1;21;106;2.7
61;6;1.1;19.5;106;3.5
62;11;1.6;22;106;3.5
63;5;3;27;106;3.7
64;1;0.8;20.5;106;4
65;7;3;20.5;106.5;3.3
66;4;1;17;106.5;3.5
67;5;4;20;107;1.3
68;5;9;23;107;1.4
69;10;0.7;17.5;107;2.5
70;5;7;19.3;107;2.8
71;5;4;18;107;3.1
72;3;0.8;18;107;3.5
73;10;0.3;16.7;108;2.7
74;10;3;22.5;108;2.7
75;8;1.1;21;108;3.3
