NEM;MAGASSAG;TOMEG;SZULHOSSZ;SZULTOMEG;SZEMSZIN;CIPOMERET
no;168;52;55;3580;barna;37
no;172;65;55;4500;kek;40
no;167;63;57;4000;barna;38
no;168;56;56;3000;barna;39
no;162;52;49;2500;barna;36
ferfi;166;65;62;4329;barna;43
ferfi;171;73;52;3600;barna;43
no;173;63;50;2900;kek;38
no;172;57;52;3233;kek;39
no;170;57;50;2550;kek;39
no;172;68;58;3900;kek;37
no;172;64;52;3000;barna;39
no;170;80;56;4000;barna;41
ferfi;179;80;55;3600;barna;43
ferfi;183;74;56;3750;barna;44
no;163;55;52;3650;barna;37
no;163;52;56;3600;barna;37
ferfi;189;69;58;3050;kek;44
ferfi;190;89;60;4100;kek;46
ferfi;183;81;61;3780;barna;42
no;160;58;52;3500;barna;37
