hely ivar tomeg jszarny jcsud
2 B T 36.4 105 28.7
4 C T 43.8 111 27.6
9 C T 40.4 102 27.3
10 C T 42.2 110 28.6
12 C T 41.8 109 27.8
14 C T 40.4 113 30.3
15 C T 44.2 108 29.3
17 B T 40.6 105 29.1
18 B T 40 109 29.2
20 B T 38.4 103 26.6
21 B T 42.8 109 29.8
23 B T 42 106 28.2
27 B T 38.6 109 28.3
30 C T 42.4 109 29.1
33 C T 39.2 107 26.9
36 C T 44 107 28.3
37 C T 41.8 107 29.4
39 C T 41.8 113 27.6
42 C T 41.2 106 27.6
43 C T 45.6 106 28.2
45 C T 39.2 109 28.2
46 C T 40.4 108 27.1
47 C T 39.2 109 29.7
48 C T 41.6 108 28.6
50 C T 44.4 106 28.9
51 C T 45.4 107 28.5
52 C T 40.4 107 28.4
54 C T 43.8 109 27.8
56 C T 41.8 103 28.2
57 C T 42.6 110 29.6
58 C T 45.4 109 27.2
61 C T 42.8 108 27.1
63 C T 40.8 106 29
67 C T 39.2 101 28.2
68 C T 43.2 105 30
70 C T 45.2 109 27.5
71 C T 47.8 108 29.7
75 C T 45.6 112 28.2
77 C T 46.4 110 27.4
78 C T 45.4 113 28.5
82 C T 41.8 97 27.6
85 C T 39.4 106 28.5
87 C T 39.2 110 28.3
89 C T 46.8 110 28
90 C T 48.6 111 29.9
92 C T 45.8 111 28.6
96 C T 39.2 105 27.5
98 C T 42.2 107 28.3
99 C T 40.8 107 29.7
100 D T 40.8 110 27.2
101 B T 42.4 115 28.8
102 B T 39.4 109 28.6
104 B T 38.8 103 28.9
106 B T 39.2 105 27.4
107 B T 44.8 110 28.8
108 B T 35.6 98 27.7
109 B T 34.8 102 27.8
110 B T 42.2 106 28
111 C T 41.8 111 28.6
113 C T 46.2 106 28.5
114 C T 44.2 111 29
115 C T 38.4 105 28.1
116 C T 44.2 109 28.4
117 C T 40.6 104 29.2
118 C T 41.8 108 27.2
121 C T 42 107 28.8
123 C T 40.2 107 28.3
124 C T 40.8 106 28.1
125 C T 40.2 101 27.9
126 C T 36.6 106 29.3
127 C T 40.8 106 28.5
131 C T 41 102 29.5
133 C T 42.6 109 27.2
134 C T 40.6 106 29.8
138 C T 40.6 107 28.4
139 C T 41.4 108 28.5
140 C T 42.8 110 29.1
145 C T 42.8 110 28.9
147 C T 39.2 109 28.5
148 C T 41.2 104 27.3
149 C T 43 110 30.4
152 C T 40.2 112 29.8
153 C T 39.4 110 29.3
155 C T 39.6 107 28.2
157 C T 45 114 30
159 C T 38.6 107 28
161 C T 43.6 109 28.2
164 C T 43.8 105 27
166 C T 41.2 108 28.8
169 D T 41.4 107 27.5
170 B T 39.2 101 29.9
173 C T 42.4 104 28.4
178 D T 40.6 105 27.8
